"Orders_Unique","Returns_Unique","Frequency","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Monetory_Value","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Recency_Quantile","Frequency_Quantile","Monetory_Value_Quantile","Y_Income"
6,2,8,681,113.5,-6,60,13.6666666666667,4,2,1671.68,-18,1653.68,2.45474302496329,3,"United Kingdom","1",27,0.37,0.92,0.91,1425.42
5,1,6,2025,405,-1,62,19,1,1,3042.39,-18,3024.39,1.50241481481481,18,"France","0",8,0.11,0.87,0.95,4162.95
3,0,3,223,74.3333333333333,0,11,4.33333333333333,0,0,580.85,0,0,2.60470852017937,0,"United Kingdom","1",40,0.42,0.63,0.01,367.4
9,4,13,832,92.4444444444444,-25,43,6.44444444444444,4,1,2679.59,-63.09,2616.5,3.22066105769231,2.5236,"United Kingdom","0",55,0.54,0.97,0.94,1980.01
10,2,12,2066,206.6,-9,99,17.9,3,1.5,2786.43,-19.09,2767.34,1.34870764762827,2.12111111111111,"United Kingdom","0",6,0.08,0.97,0.95,2288.27
6,0,6,582,97,0,18,3.33333333333333,0,0,2650.7,0,0,4.55446735395189,0,"United Kingdom","0",25,0.35,0.87,0.01,1976.92
43,15,58,18960,440.93023255814,-212,373,27.6279069767442,26,3,29552.16,-627.07,28925.09,1.5586582278481,2.95787735849057,"United Kingdom","1",4,0.04,1,1,30359.1
26,15,41,835,32.1153846153846,-16,207,15.7692307692308,3,1.06666666666667,3353.08,-320.23,3032.85,4.01566467065868,20.014375,"United Kingdom","1",7,0.1,1,0.96,4676.84
3,0,3,258,86,0,19,8.66666666666667,0,0,1010.3,0,0,3.91589147286822,0,"United Kingdom","0",42,0.45,0.63,0.01,995.33
1,0,1,53,53,0,7,7,0,0,130.85,0,0,2.4688679245283,0,"United Kingdom","0",181,1,0.01,0.01,467.98
29,5,34,16582,571.793103448276,-410,26,3.58620689655172,7,1.4,35776.26,-15877.95,19898.31,2.15753588228199,38.7267073170732,"United Kingdom","0",7,0.1,1,1,33270.38
7,1,8,1264,180.571428571429,-6,107,18.5714285714286,1,1,3091.03,-9.9,3081.13,2.44543512658228,1.65,"Australia","0",0,0.01,0.92,0.96,3267.76
7,1,8,1264,180.571428571429,-6,107,18.5714285714286,1,1,3091.03,-9.9,3081.13,2.44543512658228,1.65,"Belgium","0",0,0.01,0.92,0.96,3267.76
15,7,22,24836,1655.73333333333,-81,254,26.3333333333333,38,7.85714285714286,35750.4,-273.98,35476.42,1.43945885005637,3.38246913580247,"United Kingdom","1",14,0.22,0.99,1,52648.96
1,0,1,103,103,0,10,10,0,0,318.14,0,0,3.08873786407767,0,"United Kingdom","0",181,1,0.01,0.01,393.72
25,5,30,6598,263.92,-25,130,7.64,6,1.2,11107.11,-85.95,11021.16,1.68340557744771,3.438,"United Kingdom","1",11,0.15,1,1,16466.25
22,8,30,3042,138.272727272727,-28,49,9.63636363636364,9,1.625,7241.29,-91.6,7149.69,2.38043721236029,3.27142857142857,"United Kingdom","1",8,0.12,1,0.99,9796.02
2,3,5,108,54,-9,2,1.5,2,1.33333333333333,502.2,-45.7,456.5,4.65,5.07777777777778,"United Kingdom","0",106,0.78,0.82,0.78,2437.83
4,3,7,720,180,-17,65,17.75,3,1,1423.26,-43.95,1379.31,1.97675,2.58529411764706,"United Kingdom","1",21,0.29,0.9,0.89,2081.68
2,0,2,359,179.5,0,87,43.5,0,0,491.01,0,0,1.36771587743733,0,"United Kingdom","1",12,0.18,0.42,0.01,341.87
12,1,13,2430,202.5,-144,113,11.75,1,1,6069.46,-152.64,5916.82,2.49772016460905,1.06,"United Kingdom","1",7,0.1,0.97,0.99,8603.26
4,0,4,1216,304,0,42,13.5,0,0,1728.76,0,0,1.42167763157895,0,"United Kingdom","0",14,0.22,0.74,0.01,1326.11
3,0,3,487,162.333333333333,0,4,1.66666666666667,0,0,1251.75,0,0,2.57032854209446,0,"United Kingdom","0",145,0.9,0.63,0.01,408
3,0,3,1179,393,0,93,35.6666666666667,0,0,1694.98,0,0,1.43764206955047,0,"United Kingdom","1",27,0.37,0.63,0.01,1300.74
5,0,5,1016,203.2,0,106,25.8,0,0,1512.64,0,0,1.4888188976378,0,"United Kingdom","0",8,0.13,0.82,0.01,2606.86
1,0,1,228,228,0,59,59,0,0,390.79,0,0,1.71399122807018,0,"United Kingdom","0",181,1,0.01,0.01,281.16
1,0,1,110,110,0,6,6,0,0,225.7,0,0,2.05181818181818,0,"United Kingdom","0",181,1,0.01,0.01,164.96
5,0,5,1493,298.6,0,87,19,0,0,2351.52,0,0,1.5750301406564,0,"United Kingdom","1",9,0.14,0.82,0.02,839.03
26,4,30,27027,1039.5,-1192,219,10.8461538461538,10,2.5,28199.35,-1870.72,26328.63,1.04337699337699,1.56939597315436,"United Kingdom","1",0,0.01,1,1,36361.91
3,0,3,694,231.333333333333,0,57,26.6666666666667,0,0,1138.37,0,0,1.64030259365994,0,"United Kingdom","0",168,0.93,0.63,0.02,326.75
10,2,12,1539,153.9,-2,49,11.8,2,1,2412.91,-6.7,2406.21,1.56784275503574,3.35,"United Kingdom","1",14,0.21,0.97,0.94,5498.07
9,0,9,4174,463.777777777778,0,42,7,0,0,10593.21,0,0,2.53790368950647,0,"United Kingdom","1",21,0.3,0.94,0.02,10493.09
2,1,3,151,75.5,-6,63,34,1,1,410.67,-25.5,385.17,2.71966887417219,4.25,"United Kingdom","0",175,0.97,0.63,0.77,131.14
7,1,8,663,94.7142857142857,-1,66,15.2857142857143,1,1,1597.62,-175,1422.62,2.40968325791855,175,"United Kingdom","1",63,0.59,0.92,0.9,2460.7
1,0,1,216,216,0,2,2,0,0,155.52,0,0,0.72,0,"United Kingdom","0",181,1,0.01,0.02,84.4
2,1,3,220,110,-6,9,4.5,1,1,409.5,-17.7,391.8,1.86136363636364,2.95,"United Kingdom","0",162,0.91,0.63,0.77,599.04
86,4,90,5792,67.3488372093023,-254,881,15.3255813953488,25,6.25,9437.82,-227.96,9209.86,1.62945787292818,0.89748031496063,"United Kingdom","1",0,0.01,1,1,19195.7
1,0,1,84,84,0,46,52,0,0,188.56,0,0,2.2447619047619,0,"United Kingdom","0",181,1,0.01,0.02,216.48
5,0,5,822,164.4,0,68,18.6,0,0,1359,0,0,1.65328467153285,0,"United Kingdom","1",26,0.35,0.82,0.02,248.06
2,0,2,56,28,0,7,4,0,0,152.2,0,0,2.71785714285714,0,"United Kingdom","0",46,0.48,0.42,0.02,74.55
4,0,4,164,41,0,28,9.75,0,0,583.98,0,0,3.56085365853659,0,"United Kingdom","1",21,0.29,0.74,0.02,465.39
2,0,2,632,316,0,21,12,0,0,1309.14,0,0,2.07142405063291,0,"United Kingdom","0",40,0.42,0.42,0.02,721.19
4,1,5,738,184.5,-18,59,19.25,2,2,1344.4,-32.7,1311.7,1.82168021680217,1.81666666666667,"Germany","0",47,0.48,0.82,0.89,2505.38
1,0,1,113,113,0,44,48,0,0,274.93,0,0,2.43300884955752,0,"United Kingdom","1",181,1,0.01,0.02,444.54
