"","Orders_Unique","Returns_Unique","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Y_Income","RFMSeg"
"1",6,2,681,113.5,-6,60,13.6666666666667,4,2,1671.68,-18,2.45474302496329,3,"United Kingdom","1",27,1425.42,"2"
"5",10,2,2066,206.6,-9,99,17.9,3,1.5,2786.43,-19.09,1.34870764762827,2.12111111111111,"United Kingdom","0",6,2288.27,"2"
"7",43,15,18960,440.93023255814,-212,373,27.6279069767442,26,3,29552.16,-627.07,1.5586582278481,2.95787735849057,"United Kingdom","1",4,30359.1,"2"
"8",26,15,835,32.1153846153846,-16,207,15.7692307692308,3,1.06666666666667,3353.08,-320.23,4.01566467065868,20.014375,"United Kingdom","1",7,4676.84,"2"
"9",3,0,258,86,0,19,8.66666666666667,0,0,1010.3,0,3.91589147286822,0,"United Kingdom","0",42,995.33,"1"
"13",7,1,1264,180.571428571429,-6,107,18.5714285714286,1,1,3091.03,-9.9,2.44543512658228,1.65,"Others","0",0,3267.76,"1"
"14",15,7,24836,1655.73333333333,-81,254,26.3333333333333,38,7.85714285714286,35750.4,-273.98,1.43945885005637,3.38246913580247,"United Kingdom","1",14,52648.96,"2"
"15",1,0,103,103,0,10,10,0,0,318.14,0,3.08873786407767,0,"United Kingdom","0",181,393.72,"1"
"16",25,5,6598,263.92,-25,130,7.64,6,1.2,11107.11,-85.95,1.68340557744771,3.438,"United Kingdom","1",11,16466.25,"2"
"17",22,8,3042,138.272727272727,-28,49,9.63636363636364,9,1.625,7241.29,-91.6,2.38043721236029,3.27142857142857,"United Kingdom","1",8,9796.02,"2"
"19",4,3,720,180,-17,65,17.75,3,1,1423.26,-43.95,1.97675,2.58529411764706,"United Kingdom","1",21,2081.68,"2"
"20",2,0,359,179.5,0,87,43.5,0,0,491.01,0,1.36771587743733,0,"United Kingdom","1",12,341.87,"0"
"21",12,1,2430,202.5,-144,113,11.75,1,1,6069.46,-152.64,2.49772016460905,1.06,"United Kingdom","1",7,8603.26,"2"
"22",4,0,1216,304,0,42,13.5,0,0,1728.76,0,1.42167763157895,0,"United Kingdom","0",14,1326.11,"0"
"23",3,0,487,162.333333333333,0,4,1.66666666666667,0,0,1251.75,0,2.57032854209446,0,"United Kingdom","0",145,408,"1"
"27",1,0,110,110,0,6,6,0,0,225.7,0,2.05181818181818,0,"United Kingdom","0",181,164.96,"1"
"29",26,4,27027,1039.5,-1192,219,10.8461538461538,10,2.5,28199.35,-1870.72,1.04337699337699,1.56939597315436,"United Kingdom","1",0,36361.91,"2"
"31",10,2,1539,153.9,-2,49,11.8,2,1,2412.91,-6.7,1.56784275503574,3.35,"United Kingdom","1",14,5498.07,"2"
"33",2,1,151,75.5,-6,63,34,1,1,410.67,-25.5,2.71966887417219,4.25,"United Kingdom","0",175,131.14,"2"
"39",5,0,822,164.4,0,68,18.6,0,0,1359,0,1.65328467153285,0,"United Kingdom","1",26,248.06,"1"
"40",2,0,56,28,0,7,4,0,0,152.2,0,2.71785714285714,0,"United Kingdom","0",46,74.55,"0"
"41",4,0,164,41,0,28,9.75,0,0,583.98,0,3.56085365853659,0,"United Kingdom","1",21,465.39,"1"
"42",2,0,632,316,0,21,12,0,0,1309.14,0,2.07142405063291,0,"United Kingdom","0",40,721.19,"0"
"43",4,1,738,184.5,-18,59,19.25,2,2,1344.4,-32.7,1.82168021680217,1.81666666666667,"Others","0",47,2505.38,"2"
"44",1,0,113,113,0,44,48,0,0,274.93,0,2.43300884955752,0,"United Kingdom","1",181,444.54,"1"
"45",2,0,171,85.5,0,27,13.5,0,0,392.9,0,2.29766081871345,0,"United Kingdom","1",160,406.09,"1"
"46",2,0,578,289,0,33,21,0,0,1268.13,0,2.19399653979239,0,"United Kingdom","0",144,1296.37,"1"
"47",2,0,3582,1791,0,79,73.5,0,0,3787.12,0,1.05726409826912,0,"Others","0",174,9588.75,"1"
"48",3,1,194,64.6666666666667,-20,14,5,1,1,354.98,-25,1.82979381443299,1.25,"United Kingdom","0",144,163.69,"2"
"49",3,0,266,88.6666666666667,0,37,13,0,0,690.18,0,2.59466165413534,0,"United Kingdom","1",60,508.05,"1"
"51",1,0,146,146,0,31,31,0,0,255,0,1.74657534246575,0,"United Kingdom","0",181,108.33,"1"
"55",3,3,1825,608.333333333333,-102,116,46,30,12,3048.84,-271.88,1.67059726027397,2.66549019607843,"Others","1",62,3452.52,"2"
"56",5,0,486,97.2,0,110,28.2,0,0,783.69,0,1.61253086419753,0,"United Kingdom","1",12,1774.21,"1"
"58",13,9,3486,268.153846153846,-49,133,21,10,1.55555555555556,5514.44,-130.3,1.58188181296615,2.65918367346939,"United Kingdom","1",6,11005.6,"2"
"59",21,1,1484,70.6666666666667,-2,130,8.90476190476191,1,1,3591.12,-8.5,2.41989218328841,4.25,"United Kingdom","1",4,2074.13,"2"
"60",1,0,165,165,0,9,9,0,0,172.54,0,1.04569696969697,0,"United Kingdom","0",181,115.05,"1"
"61",6,1,656,109.333333333333,-19,55,11.6666666666667,3,3,945.86,-64.85,1.44185975609756,3.41315789473684,"United Kingdom","1",23,1867.59,"2"
"62",2,0,144,72,0,8,4,0,0,256.44,0,1.78083333333333,0,"United Kingdom","0",181,1,"1"
"63",3,1,566,188.666666666667,-1,51,17,1,1,872.6,-1.25,1.54169611307421,1.25,"United Kingdom","0",50,1199.62,"2"
"64",3,0,421,140.333333333333,0,34,12.6666666666667,0,0,1053.61,0,2.50263657957245,0,"United Kingdom","0",27,335.2,"1"
"65",2,0,139,69.5,0,5,2.5,0,0,160.97,0,1.15805755395683,0,"United Kingdom","0",181,196.8,"1"
"66",19,5,5090,267.894736842105,-81,33,4.89473684210526,15,3.4,9916.65,-202.25,1.94826129666012,2.49691358024691,"United Kingdom","1",14,16033.95,"2"
